isbn,title,first published,format,notes,collections,status,type,moods,themes
,how death works #1,2015,A3 foldout,,You Sleep Uphill,active,foldout,"clinical, curious, calm","mortality, process, acceptance"
,how death works #3,2015,A3 foldout,,You Sleep Uphill,active,foldout,"clinical, curious, calm","mortality, process, acceptance"
,morning tea #7,2015,A3 foldout,,Coalface + Sleep Uphill,active,foldout,"domestic, routine, quiet","ritual, pause, connection"
,lifeboat #9,2016,A3 foldout,,You Sleep Uphill + Bunkerland,active,foldout,"precarious, hopeful, survival","rescue, crisis, hope"
,bless,2016,A3 foldout,,You Sleep Uphill,active,foldout,"grateful, quiet, sacred","grace, presence, thanks"
,block the sun,2017,A3 foldout,,You Sleep Uphill,active,foldout,"defiant, protective, intense","love, shielding, passion"
,early/late,2017,A3 foldout,,You Sleep Uphill,active,foldout,"temporal, ambiguous, relational","time, meeting, connection"
,good stuff #1-7,2017,A3 foldout,,You Sleep Uphill,active,foldout,"affirming, accumulative, joyful","small joys, gratitude, lists"
,airplane mode,2017,A3 foldout,,You Sleep Uphill,active,foldout,"detached, quiet, internal","disconnection, reflection, self"
,listen,2017,A3 foldout,,Pastoral + Sleep Uphill,active,foldout,"attentive, urgent, ecological","attention, nature, relationship"
,you sleep uphill,2017,A3 foldout,,You Sleep Uphill,active,foldout,"tender, spatial, intimate","love, care, domesticity"
,dream #3,2017,A3 foldout,,You Sleep Uphill,active,foldout,"uncanny, symbolic, subconscious","dreams, psyche, image"
,sad rocks,2017,A3 foldout,,You Sleep Uphill,active,foldout,"melancholy, geological, still","grief, nature, permanence"
,coverage,2017,A3 foldout,,Coalface + Sleep Uphill,active,foldout,"exposed, vulnerable, social","visibility, media, self"
,you fumble,2018,A3 foldout,,You Sleep Uphill,active,foldout,"clumsy, tender, intimate","love, awkwardness, care"
,most things interest me,2018,A3 foldout,,Coalface,active,foldout,"curious, open, attentive","attention, wonder, engagement"
,strange habits,2018,A3 foldout,,You Sleep Uphill,active,foldout,"quirky, habitual, intimate","routine, love, eccentricity"
ISBN,autobio note #9,2018,"12p, A5","New version of 'where you at, bro?'",you Sleep Uphill,active,booklet,"casual, reflective, fraternal","friendship, identity, connection"
,neo-liberal handbook,2018,"12p, A5 + e-book",,Sleep Uphill + Bunkerland,active,booklet,"satirical, political, sharp","capitalism, critique, resistance"
,ill-wish list #12,2018,A3 foldout,,Mixture of Wishes,withdrawn,foldout,"vengeful, ironic, cathartic","anger, curses, release"
,yellow cars,2018,A3 foldout,,Mixture of Wishes,active,foldout,"observational, specific, nostalgic","memory, colour, urban life"
9781067073701,pastoral,2019,"48p, A5",24 poem collection. New 2025 edition,Pastoral,active,collection,"rural, reflective, grounded","countryside, animals, quiet"
9781067073718,coalface,2019,"48p, A5","24 poem collection. New 2025 edition,",Coalface,active,collection,"harsh, enduring, industrial","labour, struggle, survival"
,3 tents,2019,A3 foldout,,You Sleep Uphill,active,foldout,"temporary, fragile, intimate","shelter, love, impermanence"
,dereliction,2020,A3 foldout,,Pastoral,active,foldout,"abandoned, quiet, decaying","ruin, neglect, time"
,redacted,2021,A3 foldout,,,active,foldout,"censored, mysterious, absent","secrecy, loss, silence"
,tour,2021,A3 foldout,,Coalface,active,foldout,"mobile, transient, observational","journey, labour, movement"
,chatroom #4,2021,A3 foldout,,,active,foldout,"digital, fragmented, lonely","online, connection, isolation"
,circles,2022,A3 foldout,,You Sleep Uphill,active,foldout,"repetitive, intimate, endless","love, routine, cycles"
,1979,2022,A3 foldout,,Bunkerland,active,foldout,"nostalgic, historical, personal","memory, time, youth"
,denial,2022,A3 foldout,,,active,foldout,"refusing, numb, defensive","avoidance, trauma, silence"
,lifeboat 9,2022,A3 foldout,,Sleep Uphill + Bunkerland,active,foldout,,
,instinct,2022,A3 foldout,,,active,foldout,"intuitive, animal, bodily","instinct, survival, self"
9781067073749,you sleep uphill,2023,"86p, A5",44 poem collection. New 2025 edition,You Sleep Uphill,active,collection,"tender, intimate, domestic","love, care, relationship"
9781067073725,best friend ,2025,"32p, A5",16 poems on dogs. New 2025 edition,Best Friend,active,collection,"loyal, mournful, joyful","animals, companionship, grief"
,dead men's clothing,2018,A3 foldout,,,wip,foldout,"haunted, inherited, spectral","grief, legacy, absence"
,Blowhole,2023,11 track CD,Live show from Punakaiki 2021,,out of stock temporarily,audio,"gentle, performative, visceral","voice, breath, viola"
,Eyes Down,2023,A3 foldout,,Bunkerland,active,foldout,"shameful, guilty, internal","embarrassment, introspection, silence"
,Beard trim,2023,A3 foldout,,Bunkerland,active,foldout,"intimate, mundane, gendered","grooming, self, ritual"
,Property Ladder,2023,A3 foldout,,Bunkerland,active,foldout,"satirical, anxious, economic","housing, class, aspiration"
,Shadow ban,2023,A3 foldout,,Bunkerland,active,foldout,,
,Spinning Noises,2022,A3 foldout,,Bunkerland,active,foldout,"mechanical, hypnotic, anxious","machines, sound, obsession"
,Two dollar shop,2025,A3 foldout,,,,,,
9781067073770,Bunkerland,2025,92p A5,50+ poem/writing collection,Bunkerland,active,collection,"archival, layered, urban","memory, place, survival"
,curator notes,2019,A5 booklet,Meta-text in Coalface collection,Coalface,active,essay,"wry, self-aware, archival","publishing, curation, legacy"
,Whispers,2025,A5 booklet,,,wip,collection,,
,Whats the time? 1966!,,16p A6,Reprint of Julian Dashper catalog 1996,Bunkerland,wip,reprint,"nostalgic, artistic, historical","art, time, memory"
,Beginning of the End,,96p A5,74 collected poems 1986–2002,,wip,collected,"reflective, summative, historical","legacy, time, archive"
,nature of the reading,,A3 foldout,First published in Minarets (Compound Press 2013),Coalface,wip,essay,"meta, critical, observational","performance, audience, poetry"
,creative writing exercises,,12p A6,6 poem collection,,wip,collection,"playful, instructional, generative","writing, prompts, creation"
,13 things about chewing gum.,,A3 foldout,,,wip,foldout,"absurd, obsessive, mundane","everyday, habit, obsession"
9780987654922,barcode,,36p A6,32 poem collection. new 2025 edition,,wip,collection,"systematic, coded, detached","surveillance, identity, data"
,in overdraft at the bank of human kindness,,"42p, A4&A5",Reprint of 1987 work,,wip,reprint,"grieving, exhausted, ironic","empathy, burnout, economy"
9781067073794,the flour mill,2025,A5 booklet,Combination of Grist + Kibble collections,,wip,collection,,
